ticker,score,price,target_usd,shares
STX,0.520403466437426,593.0700073242188,20.0,0.033722831626969166
MU,0.5192012013379402,519.5802001953125,20.0,0.03849261383032285
CEG,0.5144927453119545,315.69000244140625,20.0,0.0633532891296173
TSLA,0.5144927453119545,380.010009765625,20.0,0.05263019258975626
DDOG,0.5144927453119545,132.6300048828125,20.0,0.15079544042595294
AMAT,0.5122779085935074,402.2799987792969,20.0,0.04971661544369401
KLAC,0.5122779085935074,1881.010009765625,20.0,0.01063258563014878
PYPL,0.5120662637032666,49.76499938964844,20.0,0.4018888826543456
AVGO,0.5115235331141001,416.3999938964844,20.0,0.04803074037741684
ALGN,0.5115235331141001,183.88999938964844,20.0,0.10876067250194271
MCHP,0.5115235331141001,85.70999908447266,20.0,0.23334500307588066
GFS,0.5115235331141001,59.8849983215332,20.0,0.33397345847145965
ON,0.5115235331141001,97.83000183105467,20.0,0.20443626316739266
MELI,0.510867516890225,1860.2249755859373,20.0,0.010751387742066177
QCOM,0.510867516890225,149.32000732421875,20.0,0.13394052383465246
AMGN,0.5107161091154679,342.69000244140625,20.0,0.0583617842875928
MSFT,0.5099140111613433,425.9299926757813,20.0,0.046956073401536756
TXN,0.5090970515054122,267.9599914550781,20.0,0.07463800805260468
ADBE,0.5085465590443065,240.7449951171875,20.0,0.08307545496538607
GEHC,0.508341057738935,69.93000030517578,20.0,0.2860002847521756
